participant,.draw,beta
6980792fded33a62e27ce7cc,28,1.3281389
69808775dc84b90f4adafb2f,28,1.3672307
6980990e5c9007100eb282b6,28,0.65525507
6980d9a70a7862a47c69046d,28,1.3623727
6981150699107501d80e74b6,28,2.0629875
6981e6c2e26c88d954f297eb,28,0.42376351
69829236d776a93cf3afa632,28,1.507169
698341d57fe7b870bddf91b8,28,-1.3758191
6984a9246122d3bd4ca0833e,28,2.0368639
69d5525ec7afcfce08d8608b,28,1.1170649
69d555ce85e30d6215e559d9,28,0.42500792
69dac2125e535db5a698ea18,28,0.58823707
69e913482ae5864d44e6387c,28,0.79005752
60f19a691466276fe085b461,29,0.41327432
61563a4b0def9000ccc976ec,29,0.44908424
62ebe597372fdef388b734b3,29,1.6913243
667bd577710d52a05ac09036,29,0.95794688
69728435c9476fe76dd2ab2f,29,0.29878213
697a645e36e6f14eea2b396b,29,0.62767109
697caeea2ec1c2604535f8aa,29,0.91677941
6980792fded33a62e27ce7cc,29,2.710182
69808775dc84b90f4adafb2f,29,1.2065013
6980990e5c9007100eb282b6,29,0.46271235
6980d9a70a7862a47c69046d,29,2.0499843
6981150699107501d80e74b6,29,1.4292596
